"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","FAILURE","2024-05-23T12:20:24.5003833+03:00[Europe/Athens]","0.0","11.38"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2024-05-23T12:20:36.5511559+03:00[Europe/Athens]","0.0","0.38"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2024-05-23T12:20:37.1309534+03:00[Europe/Athens]","0.0","3.58"
